id	name	kind
Computational-Gene-Sets-CGN::CAR_MLANA	CAR_MLANA	Computational-Gene-Sets-CGN
Computational-Gene-Sets-CGN::CAR_WBSCR22	CAR_WBSCR22	Computational-Gene-Sets-CGN
Computational-Gene-Sets-CGN::GCM_ACTG1	GCM_ACTG1	Computational-Gene-Sets-CGN
Computational-Gene-Sets-CGN::GCM_ANP32B	GCM_ANP32B	Computational-Gene-Sets-CGN
Computational-Gene-Sets-CGN::GCM_APEX1	GCM_APEX1	Computational-Gene-Sets-CGN
Computational-Gene-Sets-CGN::GCM_AQP4	GCM_AQP4	Computational-Gene-Sets-CGN
Computational-Gene-Sets-CGN::GCM_BCL2L1	GCM_BCL2L1	Computational-Gene-Sets-CGN
Computational-Gene-Sets-CGN::GCM_BECN1	GCM_BECN1	Computational-Gene-Sets-CGN
Computational-Gene-Sets-CGN::GCM_BMPR2	GCM_BMPR2	Computational-Gene-Sets-CGN
Computational-Gene-Sets-CGN::GCM_BNIP1	GCM_BNIP1	Computational-Gene-Sets-CGN
Computational-Gene-Sets-CGN::GCM_CALM1	GCM_CALM1	Computational-Gene-Sets-CGN
Computational-Gene-Sets-CGN::GCM_CBFB	GCM_CBFB	Computational-Gene-Sets-CGN
Computational-Gene-Sets-CGN::GCM_CHUK	GCM_CHUK	Computational-Gene-Sets-CGN
Computational-Gene-Sets-CGN::GCM_CRKL	GCM_CRKL	Computational-Gene-Sets-CGN
Computational-Gene-Sets-CGN::GCM_CSNK1A1	GCM_CSNK1A1	Computational-Gene-Sets-CGN
Computational-Gene-Sets-CGN::GCM_CSNK2B	GCM_CSNK2B	Computational-Gene-Sets-CGN
Computational-Gene-Sets-CGN::GCM_DDX11	GCM_DDX11	Computational-Gene-Sets-CGN
Computational-Gene-Sets-CGN::GCM_DDX5	GCM_DDX5	Computational-Gene-Sets-CGN
Computational-Gene-Sets-CGN::GCM_DENR	GCM_DENR	Computational-Gene-Sets-CGN
Computational-Gene-Sets-CGN::GCM_DFFA	GCM_DFFA	Computational-Gene-Sets-CGN
Computational-Gene-Sets-CGN::GCM_DLG1	GCM_DLG1	Computational-Gene-Sets-CGN
Computational-Gene-Sets-CGN::GCM_ERBB2IP	GCM_ERBB2IP	Computational-Gene-Sets-CGN
Computational-Gene-Sets-CGN::GCM_FANCC	GCM_FANCC	Computational-Gene-Sets-CGN
Computational-Gene-Sets-CGN::GCM_GSPT1	GCM_GSPT1	Computational-Gene-Sets-CGN
Computational-Gene-Sets-CGN::GCM_GSTA4	GCM_GSTA4	Computational-Gene-Sets-CGN
Computational-Gene-Sets-CGN::GCM_HBP1	GCM_HBP1	Computational-Gene-Sets-CGN
Computational-Gene-Sets-CGN::GCM_HDAC1	GCM_HDAC1	Computational-Gene-Sets-CGN
